"","DBN","school_name","year","tot_enrollment","num_female","num_male","Number_Asian","Number_Black","Number_Hispanic","Number_Categories_Unrepresented","Number_White","Num_Students_With_Disabilities","Num_English_Lang_Learners","Num_LowIncome","Borough","grades","gym_square_footage","gym_room_function","shared","location","has_other_purpose","number_gyms","prop_female","econ_as_num","UnderrepresentedProportion","Prop_LowIncome"
"2740","13K616","Brooklyn High School for Leadership and Community","2016-17",203,98,105,1,141,55,1,5,38,9,174,"Brooklyn","High school",672,"MULTI-PURPOSE ROOM","Y","Inside","Y",4,0.482758620689655,70.6,0.970443349753695,0.857142857142857
"2741","13K616","Brooklyn High School for Leadership and Community","2016-17",203,98,105,1,141,55,1,5,38,9,174,"Brooklyn","High school",651,"WEIGHT ROOM","Y","Inside","N",4,0.482758620689655,70.6,0.970443349753695,0.857142857142857
"2742","13K616","Brooklyn High School for Leadership and Community","2016-17",203,98,105,1,141,55,1,5,38,9,174,"Brooklyn","High school",322,"DANCE ROOM","Y","Inside","N",4,0.482758620689655,70.6,0.970443349753695,0.857142857142857
"2743","13K616","Brooklyn High School for Leadership and Community","2016-17",203,98,105,1,141,55,1,5,38,9,174,"Brooklyn","High school",6240,"GYM","Y","Inside","N",4,0.482758620689655,70.6,0.970443349753695,0.857142857142857
"2744","13K670","Benjamin Banneker Academy","2016-17",896,484,412,32,746,88,24,6,118,5,619,"Brooklyn","High school",6844,"GYM","N","Inside","N",2,0.540178571428571,55.3,0.957589285714286,0.690848214285714
"2745","13K670","Benjamin Banneker Academy","2016-17",896,484,412,32,746,88,24,6,118,5,619,"Brooklyn","High school",380,"AUXILIARY EXERCISE ROOM","N","Inside","N",2,0.540178571428571,55.3,0.957589285714286,0.690848214285714
"2746","13K674","City Polytechnic High School of Engineering, Archi","2016-17",449,94,355,28,320,78,10,13,83,7,340,"Brooklyn","High school",1550,"WEIGHT ROOM","Y","Inside","N",3,0.209354120267261,55.2,0.908685968819599,0.757238307349666
"2747","13K674","City Polytechnic High School of Engineering, Archi","2016-17",449,94,355,28,320,78,10,13,83,7,340,"Brooklyn","High school",8000,"GYM","Y","Inside","N",3,0.209354120267261,55.2,0.908685968819599,0.757238307349666
"2748","13K674","City Polytechnic High School of Engineering, Archi","2016-17",449,94,355,28,320,78,10,13,83,7,340,"Brooklyn","High school",1210,"MULTI-PURPOSE ROOM","Y","Inside","Y",3,0.209354120267261,55.2,0.908685968819599,0.757238307349666
"2749","13K691","Fort Greene Preparatory Academy","2016-17",218,97,121,6,133,67,4,8,56,18,180,"Brooklyn","Junior High-Intermediate-Middle",4032,"GYM","Y","Inside","N",2,0.444954128440367,75.2,0.935779816513762,0.825688073394495
