Borough,Geographical  District,Admin District,ATS Code,Location Name,Grade Level,Bldg ID,Bldg Name,Ownership,Room Number,Square Feet,Room Function,Shared with other schools?,Inside v outside,Space used for any other purpose beside PE,Location 1
Queens,27,27,27Q309,Academy of Medical Technology: A College Board School,Secondary School,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM1,"5,568",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q309,Academy of Medical Technology: A College Board School,Secondary School,Q465,FAR ROCKAWAY HS - Q,DOE Owned,GYM2,"5,742",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q309,Academy of Medical Technology: A College Board School,Secondary School,Q466,FAR ROCKAWAY AF - QUEENS,DOE Owned,ATHLETIC FIELD,"115,000",ATHLETIC FIELD,Y,Outside,N,
Queens,27,27,27Q314,Epic High School - South,High school,Q226,I.S. 226 - QUEENS,DOE Owned,222,"5,551",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q314,Epic High School - South,High school,Q226,I.S. 226 - QUEENS,DOE Owned,231,"1,073",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q314,Epic High School - South,High school,Q226,I.S. 226 - QUEENS,DOE Owned,233,330,DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q314,Epic High School - South,High school,Q226,I.S. 226 - QUEENS,DOE Owned,OUTDOOR YARD 1,"40,615",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q316,Queens Explorers Elementary School,Elementary,Q316,THE OZONE PARK EDUCATIONAL CAMPUS - QUEENS,DOE Owned,1,"2,784",GYM/AUDITORIUM,N,Inside,Y,
Queens,27,27,27Q317,Waterside Children's Studio School,Elementary,Q225,P.S. 225 - QUEENS,DOE Owned,GYM.,"3,795",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q317,Waterside Children's Studio School,Elementary,Q225,P.S. 225 - QUEENS,DOE Owned,OUTDOOR YARD 1,"7,878",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q318,Waterside School For Leadership,Junior High-Intermediate-Middle,Q225,P.S. 225 - QUEENS,DOE Owned,GYM.,"3,795",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q480,John Adams High School,High school,Q480,JOHN ADAMS HS - QUEENS,DOE Owned,GYMB,"3,315",GYMNASIUM,N,Inside,N,
Queens,27,27,27Q318,Waterside School For Leadership,Junior High-Intermediate-Middle,Q225,P.S. 225 - QUEENS,DOE Owned,OUTDOOR YARD 1,"7,878",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,110,726,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,169,"5,355",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,211,990,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,275,957,DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,306,640,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,309,792,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,405,"1,020",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,479,216,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q319,Village Academy,Junior High-Intermediate-Middle,Q053,I.S. 53 - QUEENS,DOE Owned,OUTDOOR YARD 1,"49,051",OUTDOOR YARD,Y,Outside,N,
Queens,27,27,27Q323,Scholars' Academy,Secondary School,Q180,I.S. 323 (OLD IS 180) - QUEENS,DOE Owned,139,"1,053",WEIGHT ROOM,N,Inside,N,
Queens,27,27,27Q323,Scholars' Academy,Secondary School,Q180,I.S. 323 (OLD IS 180) - QUEENS,DOE Owned,GYM,"6,336",GYMNASIUM,N,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C151B,297,MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,C343/5,"1,560",MULTI-PURPOSE CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E192/6,"1,917",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,E209/11,"1,539",DANCE ROOM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G11,729,MULTI-PURPOSE NON CLASSROOM,Y,Inside,Y,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,G25,"1,632",SWIMMING POOL,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-A,"5,265",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-B,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-C,"2,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-D/E,"6,192",GYM/AUDITORIUM,Y,Inside,Y,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-F,"6,675",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,GYM-G,"3,600",GYMNASIUM,Y,Inside,N,
Queens,27,27,27Q324,Rockaway Park High School for Environmental Sustainability,High school,Q410,BEACH CHANNEL EDUCATIONAL CAMPUS - Q,DOE Owned,H,"3,375",WEIGHT ROOM,Y,Inside,N,
Queens,27,27,27Q333,Goldie Maple Academy,K-8,Q198,I.S. 198 - QUEENS,DOE Owned,101,"6,175",GYMNASIUM,N,Inside,N,
Queens,27,27,27Q333,Goldie Maple Academy,K-8,Q198,I.S. 198 - QUEENS,DOE Owned,137,667,WEIGHT ROOM,N,Inside,N,
Queens,27,27,27Q333,Goldie Maple Academy,K-8,Q198,I.S. 198 - QUEENS,DOE Owned,222,861,MULTI-PURPOSE CLASSROOM,N,Inside,Y,
